Brand,Price,Year,Transmission,Capacity,Mileage,Published_Date,USD_Rate,Fuel_Price,Crude_Oil_Price
Bajaj CT-100,250000,2016,Manual,100,60000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,250000,2017,Manual,100,46000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,250000,2016,Manual,100,24870,10/23/2021,201.35,157,15807.99
Bajaj CT-100,250000,2016,Manual,100,47000,10/20/2021,200.54,157,15744.4
Bajaj CT-100,250000,2017,Automatic,100,73100,10/14/2021,200.98,157,15778.94
Bajaj CT-100,250000,2016,Manual,100,50000,10/13/2021,201.02,157,15782.08
Bajaj CT-100,250000,2016,Manual,100,70000,10/12/2021,200.5,157,15741.26
Bajaj CT-100,250000,2017,Manual,100,54657,10/8/2021,200.03,157,15704.36
Bajaj CT-100,250000,2017,Manual,100,10105,10/2/2021,199.7,157,15678.45
Bajaj CT-100,250000,2016,Manual,65,50146,9/14/2021,199.36,157,13773.78
Bajaj CT-100,250000,2016,Manual,100,31000,9/7/2021,201.5,157,13921.64
Bajaj CT-100,250000,2015,Automatic,100,31329,9/6/2021,200.23,157,13833.89
Bajaj CT-100,252000,2016,Automatic,100,36000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,255000,2017,Manual,100,33000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,255000,2019,Manual,100,23548,10/31/2021,202.07,157,15864.52
Bajaj CT-100,255000,2018,Manual,100,24100,10/31/2021,202.07,157,15864.52
Bajaj CT-100,255000,2017,Manual,100,18000,10/30/2021,202.05,157,15862.95
Bajaj CT-100,255000,2015,Manual,100,65800,10/29/2021,202.05,157,15862.95
Bajaj CT-100,255000,2017,Manual,100,27600,10/17/2021,202.03,157,15861.38
Bajaj CT-100,255000,2016,Manual,100,45000,10/10/2021,199.89,157,15693.36
Bajaj CT-100,255000,2017,Manual,100,34000,10/2/2021,199.7,157,15678.45
Bajaj CT-100,255000,2015,Automatic,100,10000,9/25/2021,199.72,157,13798.65
Bajaj CT-100,255000,2016,Manual,100,31000,9/20/2021,199.49,157,13782.76
Bajaj CT-100,255000,2014,Automatic,99,39000,9/15/2021,199.45,157,13780
Bajaj CT-100,255000,2016,Manual,100,30000,9/12/2021,199.74,157,13800.04
Bajaj CT-100,257000,2016,Manual,100,26600,11/1/2021,201.98,157,15441.37
Bajaj CT-100,258000,2017,Manual,100,22000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,258000,2016,Manual,100,52000,10/25/2021,202,157,15859.02
Bajaj CT-100,258000,2015,Manual,100,22000,10/18/2021,200.44,157,15736.54
Bajaj CT-100,258000,2016,Manual,100,38000,9/27/2021,200.05,157,13821.45
Bajaj CT-100,260000,2017,Manual,100,67000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,260000,2017,Manual,100,34000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,260000,2018,Manual,100,30000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,260000,2018,Manual,100,2600,10/30/2021,202.05,157,15862.95
Bajaj CT-100,260000,2017,Manual,100,40000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,260000,2017,Manual,100,40143,10/25/2021,202,157,15859.02
Bajaj CT-100,260000,2017,Manual,99,35800,10/19/2021,201,157,15780.51
Bajaj CT-100,260000,2017,Automatic,100,12000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,260000,2017,Manual,100,86000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,260000,2017,Manual,125,18000,10/6/2021,199.42,157,15656.46
Bajaj CT-100,260000,2017,Manual,100,180000,9/18/2021,199.62,157,13791.75
Bajaj CT-100,260000,2017,Manual,100,20000,9/9/2021,199.79,157,13803.49
Bajaj CT-100,263000,2019,Automatic,100,29000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,263000,2017,Manual,100,34000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,265000,2017,Manual,100,31000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,265000,2018,Manual,100,38000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,265000,2018,Manual,99,36000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,265000,2015,Manual,100,27000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,265000,2016,Manual,100,43000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,265000,2016,Manual,100,23000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,265000,2016,Manual,100,67000,10/24/2021,201.33,157,15806.42
Bajaj CT-100,265000,2017,Manual,100,28000,10/23/2021,201.35,157,15807.99
Bajaj CT-100,265000,2017,Manual,100,34000,10/23/2021,201.35,157,15807.99
Bajaj CT-100,265000,2018,Manual,100,23556,10/21/2021,200.46,157,15738.11
Bajaj CT-100,265000,2018,Manual,100,60000,10/16/2021,201.29,157,15803.28
Bajaj CT-100,265000,2017,Manual,100,19830,10/16/2021,201.29,157,15803.28
Bajaj CT-100,265000,2016,Manual,100,39000,10/13/2021,201.02,157,15782.08
Bajaj CT-100,265000,2016,Manual,100,34500,10/10/2021,199.89,157,15693.36
Bajaj CT-100,265000,2017,Manual,100,11000,10/2/2021,199.7,157,15678.45
